singletons,subtype,population
4335358,AT_CG,ALL
14411404,AT_GC,ALL
3966499,AT_TA,ALL
6615079,cpg_GC_AT,ALL
435216,cpg_GC_CG,ALL
553896,cpg_GC_TA,ALL
13172220,GC_AT,ALL
4501946,GC_CG,ALL
4985545,GC_TA,ALL
52977163,total,ALL
540054,AT_CG,AMR
1843384,AT_GC,AMR
497687,AT_TA,AMR
831801,cpg_GC_AT,AMR
56136,cpg_GC_CG,AMR
67867,cpg_GC_TA,AMR
1690370,GC_AT,AMR
566704,GC_CG,AMR
626698,GC_TA,AMR
17280978,total,AMR
1262888,AT_CG,AFR
4178952,AT_GC,AFR
1138869,AT_TA,AFR
1921101,cpg_GC_AT,AFR
124142,cpg_GC_CG,AFR
162111,cpg_GC_TA,AFR
3821143,GC_AT,AFR
1330996,GC_CG,AFR
1452209,GC_TA,AFR
24204113,total,AFR
710178,AT_CG,EAS
2336815,AT_GC,EAS
650119,AT_TA,EAS
1064404,cpg_GC_AT,EAS
70878,cpg_GC_CG,EAS
88486,cpg_GC_TA,EAS
2124485,GC_AT,EAS
731704,GC_CG,EAS
821459,GC_TA,EAS
13499944,total,EAS
710178,AT_CG,EUR
2336815,AT_GC,EUR
650119,AT_TA,EUR
1064404,cpg_GC_AT,EUR
70878,cpg_GC_CG,EUR
88486,cpg_GC_TA,EUR
2124485,GC_AT,EUR
731704,GC_CG,EUR
821459,GC_TA,EUR
13499944,total,EUR
897754,AT_CG,SAS
2861359,AT_GC,SAS
791460,AT_TA,SAS
1346096,cpg_GC_AT,SAS
89577,cpg_GC_CG,SAS
113843,cpg_GC_TA,SAS
2686394,GC_AT,SAS
890932,GC_CG,SAS
1000478,GC_TA,SAS
16805213,total,SAS
